Accuracy;Loss
97,64\%;0,0033
97,6\%;0,0029
97,59\%;0,0031
97,4\%;0,0034
97,53\%;0,0031
97,03\%;0,0041
97,18\%;0,0037
97,13\%;0,0037
97,15\%;0,0039
97,36\%;0,0035
98,12\%;0,003
98,02\%;0,003
97,68\%;0,0027
97,84\%;0,0033
97,87\%;0,18
98,01\%;0,0031
97,6\%;0,0026
98,15\%;0,0026
85,68\%;0,0158
86,53\%;0,0157
84,99\%;0,0156
85,15\%;0,016
86,04\%;0,0158
85,56\%;0,0163
86,11\%;0,0155
84,93\%;0,018
85,44\%;0,0169
86,78\%;0,016
86,41\%;0,0142
86,64\%;0,0143
88,09\%;0,0142
88,18\%;0,0141
86,89\%;0,0147
87,43\%;0,0144
86,95\%;0,0157
87,42\%;0,014
90,62\%;0,0084
90,85\%;0,0082
91,06\%;0,008
90,92\%;0,0082
90,97\%;0,0088
90,77\%;0,0085
90,27\%;0,0101
90,77\%;0,0081
90,27\%;0,0118
90,46\%;0,0085
90,91\%;0,0079
90,78\%;0,0082
90,82\%;0,0083
90,64\%;0,0081
90,78\%;0,0081
90,61\%;0,0083
89,87\%;0,0086
90,53\%;0,0082
93,9\%;0,0057
94,9\%;0,0046
95,31\%;0,0047
94,91\%;0,0046
94,9\%;0,0051
94,79\%;0,0049
95,0\%;0,0051
95,09\%;0,0052
94,85\%;0,0047
93,94\%;0,0058
95,03\%;0,0047
95,07\%;0,0047
94,81\%;0,0048
94,85\%;0,0047
94,03\%;0,0052
95,01\%;0,0049
94,88\%;0,0052
94,95\%;0,0048
90,76\%;0,012
92,54\%;0,0088
91,9\%;0,01
91,93\%;0,0096
91,72\%;0,0097
91,97\%;0,0093
91,23\%;0,0106
91,82\%;0,0089
90,31\%;0,0111
92,44\%;0,0091
93,1\%;0,0079
93,3\%;0,0081
94,02\%;0,3308
93,9\%;0,007
93,14\%;0,008
94,21\%;0,0069
93,15\%;0,008
94,05\%;0,0072
90,32\%;0,0115
90,05\%;0,0119
89,97\%;0,0106
90,43\%;0,0102
89,29\%;0,012
89,75\%;0,0106
90,9\%;0,0098
90,81\%;0,0092
90,02\%;0,0099
92,59\%;0,0111
92,48\%;0,0087
92,18\%;0,0095
92,29\%;0,0081
91,91\%;0,0089
91,88\%;0,0099
91,55\%;0,0104
90,79\%;0,0089
91,99\%;0,0084
